Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.62     0.00  1411106     0.00     0.00  face_attr_equal_p
  0.00      1.62     0.00  1368302     0.00     0.00  bidi_cache_iterator_state
  0.00      1.62     0.00  1357412     0.00     0.00  bidi_cache_find
  0.00      1.62     0.00  1328450     0.00     0.00  record_unwind_protect_ptr
  0.00      1.62     0.00  1314101     0.00     0.00  fix_position
  0.00      1.62     0.00  1281188     0.00     0.00  Fcons
  0.00      1.62     0.00  1265065     0.00     0.00  syntax_property_with_flags.constprop.0
  0.00      1.62     0.00  1264720     0.00     0.00  vectorlike_nbytes
  0.00      1.62     0.00  1174576     0.00     0.00  balance_an_interval
  0.00      1.62     0.00  1002604     0.00     0.00  funcall_subr
  0.00      1.62     0.00   961084     0.00     0.00  Fget
  0.00      1.62     0.00   940089     0.00     0.00  Fstring_equal
  0.00      1.62     0.00   936682     0.00     0.00  produce_glyphs
  0.00      1.62     0.00   899515     0.00     0.00  bidi_get_type
  0.00      1.62     0.00   836136     0.00     0.00  bidi_fetch_char
  0.00      1.62     0.00   815344     0.00     0.00  find_interval
  0.00      1.62     0.00   759867     0.00     0.00  FETCH_CHAR_AS_MULTIBYTE
  0.00      1.62     0.00   731502     0.00     0.00  sub_char_table_set
  0.00      1.62     0.00   720545     0.00     0.00  execute_charset
  0.00      1.62     0.00   703270     0.00     0.00  Fequal
  0.00      1.62     0.00   700620     0.00     0.00  set_iterator_to_next
  0.00      1.62     0.00   698633     0.00     0.00  bidi_cache_ensure_space
  0.00      1.62     0.00   696286     0.00     0.00  bidi_resolve_brackets
  0.00      1.62     0.00   696286     0.00     0.00  bidi_resolve_neutral
  0.00      1.62     0.00   674850     0.00     0.00  balance_possible_root_interval
  0.00      1.62     0.00   668073     0.00     0.00  RE_SETUP_SYNTAX_TABLE_FOR_OBJECT
  0.00      1.62     0.00   668073     0.00     0.00  unfreeze_pattern
  0.00      1.62     0.00   627487     0.00     0.00  re_search
  0.00      1.62     0.00   617383     0.00     0.00  unwind_re_match
  0.00      1.62     0.00   602139     0.00     0.00  fast_string_match_internal
  0.00      1.62     0.00   574973     0.00     0.00  printchar
  0.00      1.62     0.00   563248     0.00     0.00  textget
  0.00      1.62     0.00   521747     0.00     0.00  append_glyph
  0.00      1.62     0.00   482387     0.00     0.00  mark_interval_tree_1
  0.00      1.62     0.00   469228     0.00     0.00  CHECK_STRING_OR_BUFFER
  0.00      1.62     0.00   450919     0.00     0.00  validate_interval_range
  0.00      1.62     0.00   414919     0.00     0.00  store_symval_forwarding
  0.00      1.62     0.00   413992     0.00     0.00  bidi_paired_bracket_type
  0.00      1.62     0.00   412828     0.00     0.00  get_property_and_range
  0.00      1.62     0.00   365651     0.00     0.00  Ffuncall
  0.00      1.62     0.00   356443     0.00     0.00  char_width
  0.00      1.62     0.00   335874     0.00     0.00  read_hex
  0.00      1.62     0.00   313854     0.00     0.00  Fcurrent_buffer
  0.00      1.62     0.00   295592     0.00     0.00  set_internal
  0.00      1.62     0.00   290266     0.00     0.00  Fsymbol_value
  0.00      1.62     0.00   276033     0.00     0.00  hashfn_eq
  0.00      1.62     0.00   275093     0.00     0.00  hash_lookup
  0.00      1.62     0.00   273882     0.00     0.00  Fcar
  0.00      1.62     0.00   267001     0.00     0.00  allocate_string_data
  0.00      1.62     0.00   265069     0.00     0.00  Ftext_properties_at
  0.00      1.62     0.00   259973     0.00     0.00  setup_on_free_list
  0.00      1.62     0.00   252364     0.00     0.00  funcall_lambda
  0.00      1.62     0.00   247936     0.00     0.00  re_iswctype
  0.00      1.62     0.00   243834     0.00     0.00  char_table_set
  0.00      1.62     0.00   237127     0.00     0.00  string_char_to_byte
  0.00      1.62     0.00   232045     0.00     0.00  validate_subarray
  0.00      1.62     0.00   221800     0.00     0.00  mark_object_root_visitor
